,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mundo nuevo,99,MX,1583667324,88,18.7,-95.5,67.19,3.13
88,denpasar,99,ID,1583667163,87,-8.65,115.22,77.45,2.75
89,comarapa,0,BO,1583667325,74,-17.9,-64.48,65.03,1.79
90,tilichiki,0,RU,1583667325,88,60.47,166.1,-7.87,3.8
91,mayo,1,US,1583667325,69,38.89,-76.51,37.4,3.36
92,ostersund,75,SE,1583667158,96,63.18,14.64,41.0,18.34
93,cape town,40,ZA,1583667325,73,-33.93,18.42,75.0,21.92
94,esperance,42,AU,1583667325,68,-33.87,121.9,64.4,18.34
95,clyde river,90,CA,1583667325,67,70.47,-68.59,-22.0,18.34
96,bengkulu,95,ID,1583667325,92,-3.8,102.27,75.47,2.17
97,nichinan,20,JP,1583667325,67,31.6,131.37,59.0,12.75
98,avarua,100,CK,1583667325,88,-21.21,-159.78,80.6,8.05
99,saint-joseph,87,RE,1583667325,70,-21.37,55.62,86.0,31.09
100,filadelfia,20,US,1583667063,55,39.95,-75.16,34.0,5.82
101,orange cove,1,US,1583667325,100,36.62,-119.31,48.2,2.42
102,beloha,0,MG,1583667325,37,-25.17,45.05,88.61,20.04
103,rocky mountain house,57,CA,1583667325,97,52.37,-114.92,-4.45,2.26
104,souillac,75,MU,1583667326,88,-20.52,57.52,81.0,5.82
105,sakaiminato,75,JP,1583667326,71,35.55,133.23,51.8,6.93
106,zhangjiakou,100,CN,1583667326,90,40.81,114.88,34.61,5.75
107,zaysan,30,KZ,1583667326,83,47.47,84.87,4.91,3.8
108,ciudad bolivar,5,VE,1583667326,67,8.12,-63.55,76.73,9.91
109,muana,100,BR,1583667326,95,-1.53,-49.22,76.37,3.51
110,atar,100,MR,1583667326,7,20.52,-13.05,90.41,4.47
111,chuy,13,UY,1583667326,75,-33.7,-53.46,73.13,8.1
112,chardara,30,KZ,1583667326,39,41.25,67.97,48.65,2.59
113,bambous virieux,75,MU,1583667326,88,-20.34,57.76,81.0,5.82
114,popondetta,100,PG,1583667326,92,-8.75,148.25,74.21,4.79
115,butaritari,100,KI,1583667326,77,3.07,172.79,84.65,15.26
116,castro,83,BR,1583667326,70,-24.79,-50.01,66.47,4.12
117,curvelo,37,BR,1583667326,85,-18.76,-44.43,71.51,6.98
118,lebu,83,CL,1583667326,72,-37.62,-73.65,51.89,4.56
119,goianesia,68,BR,1583667063,92,-15.32,-49.12,71.69,0.11
120,raigarh,40,IN,1583667160,48,21.9,83.4,86.0,3.78
121,isangel,36,VU,1583667327,82,-19.55,169.27,79.79,12.28
122,san carlos de bariloche,75,AR,1583667200,80,-41.15,-71.31,35.6,4.7
123,nizhniy ingash,100,RU,1583667327,90,56.2,96.53,16.25,15.01
124,izumo,75,JP,1583667327,81,35.37,132.77,51.8,3.36
125,dikson,6,RU,1583667327,59,73.51,80.55,-17.41,2.64
